uniqueid,sitetype2,orgunituid,sitename,snu1,snu2,psnu,snu1uid,psnuuid,snu2uid,diff_snu2,gis_na,lon,lat
1,1,BN5iN4YLPfT,Gurin Primary Health Centre,Adamawa,Fufore,ad Fufore,erpCFZj6yFu,dv4N89160b6,dv4N89160b6,0,0,12.8842,9.11173
2,1,KrHj7Ycvctj,Fufore Cottage Hospital,Adamawa,Fufore,ad Fufore,erpCFZj6yFu,dv4N89160b6,dv4N89160b6,0,0,12.66376,9.21662
3,1,apo2hT9i94X,Clinic B Girei,Adamawa,Girie,ad Girei,erpCFZj6yFu,g353MwNv1ST,g353MwNv1ST,1,0,12.54430353,10.18346198
4,1,R2bNqBqJUIw,Garkida General Hospital,Adamawa,Gombi,ad Gombi,erpCFZj6yFu,I0NB6gmLUsA,I0NB6gmLUsA,1,0,12.4810384,9.43457117
5,1,wAZ9LXoASUu,Guyuk General Hospital,Adamawa,Guyuk,ad Guyuk,erpCFZj6yFu,w4bclNyjW8p,w4bclNyjW8p,0,0,11.94088,9.91922
6,1,cVnKorgLC9B,Hong Cottage Hospital,Adamawa,Hong,ad Hong,erpCFZj6yFu,fpBVTbTedSf,fpBVTbTedSf,0,0,12.94488,10.23547
7,1,l01zG9ePfqt,Township Clinic Jada,Adamawa,Jada,ad Jada,erpCFZj6yFu,qrAb13XpOC2,qrAb13XpOC2,0,0,12.091,8.45372
8,1,S5HvxHdK2Vt,Mayo Belwa Cottage Hospital,Adamawa,Mayo-Belwa,ad Mayo-Belwa,erpCFZj6yFu,PekU6CGZl4z,PekU6CGZl4z,0,0,12.03788,9.01467
9,1,DqWvsU2R8rw,Township Clinic Mayo-Belwa,Adamawa,Mayo-Belwa,ad Mayo-Belwa,erpCFZj6yFu,PekU6CGZl4z,PekU6CGZl4z,0,0,12.0342,9.0304
10,1,Nx613mKHzsk,Michika General Hospital,Adamawa,Michika,ad Michika,erpCFZj6yFu,DqggvhYh4iJ,DqggvhYh4iJ,1,0,13.40693983,10.57435013
11,1,XyFDmlevgCu,Mubi General Hospital,Adamawa,Mubi South,ad Mubi South,erpCFZj6yFu,m6LBTfgy4N4,m6LBTfgy4N4,1,0,13.33523144,10.17476374
12,1,D8vH0OndOn7,Shelleng Nysc Clinic,Adamawa,Shelleng,ad Shelleng,erpCFZj6yFu,LH0JbbkkKBP,LH0JbbkkKBP,1,0,12.1383571,9.925530021
13,1,qY7ZkVcos1O,Song Cottage Hospital,Adamawa,Song,ad Song,erpCFZj6yFu,FlBE3mL1gu7,FlBE3mL1gu7,1,0,12.62399141,9.813619699
14,1,SSB1jXm3jdi,Toungo Cottage Hospital,Adamawa,Toungo,ad Toungo,erpCFZj6yFu,IlQNjQ4xhtJ,IlQNjQ4xhtJ,0,0,12.0281,8.07393
15,1,hozfIkuo4eE,Major Aminu Urban Health Centre,Adamawa,Yola North,ad Yola North,erpCFZj6yFu,f8yDBoPVWu1,f8yDBoPVWu1,1,0,12.37182982,9.238242482
16,1,DPA6BxE9pzQ,Yola Specialist Hospital,Adamawa,Yola North,ad Yola North,erpCFZj6yFu,f8yDBoPVWu1,f8yDBoPVWu1,1,0,12.37182982,9.238242482
17,1,GbtTSJLBKbI,St. Francis Hospital,Adamawa,Yola North,ad Yola North,erpCFZj6yFu,f8yDBoPVWu1,f8yDBoPVWu1,1,0,12.37182982,9.238242482
18,1,gfEDfny3Hp0,Wauro-Jabbe Health Centre,Adamawa,Yola South,ad Yola South,erpCFZj6yFu,ygm0La5inNU,ygm0La5inNU,0,0,12.39278,9.26148
19,1,J2AZkcaFst0,Gdcmh Ngurore,Adamawa,Yola South,ad Yola South,erpCFZj6yFu,ygm0La5inNU,ygm0La5inNU,1,0,12.41116988,9.255979982
20,1,RxLmSTf6Kpl,Yola Federal Medical Centre,Adamawa,Yola South,ad Yola South,erpCFZj6yFu,ygm0La5inNU,ygm0La5inNU,1,0,12.41116988,9.255979982
21,1,QOEISWylapq,Ikot Akpan Ikpong Health Centre,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,1,0,7.772374346,5.019820114
22,1,rlgOioqs67G,Midim Abak Health Centre,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.71514,5.02838
23,1,zbFMCQu3vef,Afaha Obong Primary Health Centre,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.74909,5.02992
24,1,KPbHmQq5497,Ebom Primary Health Center,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.79514,4.98627
25,1,GXzScsP7uSt,Ukpom Abak General Hospital,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.81616,5.02065
26,1,ICBVBTSD1Ez,Mercy Hospital,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.79092,4.98467
27,1,JMvj0EENdyk,Cedar And Olive Clinic,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.79296,4.98241
28,1,ozLO5jPmxIe,Ikot Etok Udo Primary Health Centre,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.80292,5.10311
29,1,iZhoeOKZldm,Uduak Abasi Clinic,Akwa Ibom,Abak,ak Abak,pRNjUammgeK,XBIWanrEkbP,XBIWanrEkbP,0,0,7.76776,4.98933
30,1,jJwndfpsyuh,Iko Town Primary Health Centre,Akwa Ibom,Eastern Obolo,ak Eastern Obolo,pRNjUammgeK,ALVyRcoCEeE,ALVyRcoCEeE,0,0,7.76025,4.52308
