row,snu1uid,statename,snu2,level4name,level5name,uid,uid_diff,psnuuid
1,X1YSuZzQAP8,Lagos,Badagry,Lagos,la Badagry,KVW9Io1khx7,,KVW9Io1khx7
2,JPR7FWvI4Jq,Ogun,Egbado North,Ogun,og Yewa North,XY5wcfahN5W,,XY5wcfahN5W
3,ERH1gaeZSqG,Kaduna,Lere,Kaduna,kd Lere,xgIRJYISVOB,,xgIRJYISVOB
4,ERH1gaeZSqG,Kaduna,Zaria,Kaduna,kd Zaria,bKXKmhOnPpK,,bKXKmhOnPpK
5,ERH1gaeZSqG,Kaduna,Zangon-Kataf,Kaduna,kd Zango-Kataf,LRJl5ilFu2M,,LRJl5ilFu2M
6,ERH1gaeZSqG,Kaduna,Birnin-Gwari,Kaduna,kd Birnin Gwari,z7cRKbwx8L7,,z7cRKbwx8L7
7,ERH1gaeZSqG,Kaduna,Sanga,Kaduna,kd Sanga,igUyFcgaVHP,,igUyFcgaVHP
8,ERH1gaeZSqG,Kaduna,Sabon-Gari,Kaduna,kd Sabon Gari,n81KW6HQJ9Q,,n81KW6HQJ9Q
9,ERH1gaeZSqG,Kaduna,Giwa,Kaduna,kd Giwa,t4pYfQ9Skx4,,t4pYfQ9Skx4
10,erpCFZj6yFu,Adamawa,Yola North,Adamawa,ad Yola North,f8yDBoPVWu1,,f8yDBoPVWu1
11,ERH1gaeZSqG,Kaduna,Kajuru,Kaduna,kd Kajuru,Vpd9OutI5QE,,Vpd9OutI5QE
12,ERH1gaeZSqG,Kaduna,Igabi,Kaduna,kd Igabi,dlxwQg99WoE,,dlxwQg99WoE
13,ERH1gaeZSqG,Kaduna,Ikara,Kaduna,kd Ikara,pad3e5xOCdP,,pad3e5xOCdP
14,ERH1gaeZSqG,Kaduna,Jaba,Kaduna,kd Jaba,uFaSs80gLIx,,uFaSs80gLIx
15,ERH1gaeZSqG,Kaduna,Kaduna North,Kaduna,kd Kaduna North,U42lUlqw14s,,U42lUlqw14s
16,ERH1gaeZSqG,Kaduna,Kachia,Kaduna,kd Kachia,ILwIROK4TTR,,ILwIROK4TTR
17,ERH1gaeZSqG,Kaduna,Soba,Kaduna,kd Soba,sWKNZPZj231,,sWKNZPZj231
18,erpCFZj6yFu,Adamawa,Shelleng,Adamawa,ad Shelleng,LH0JbbkkKBP,,LH0JbbkkKBP
19,pRNjUammgeK,Akwa Ibom,Okobo,Akwa Ibom,ak Okobo,yNiTlEQJJOr,,yNiTlEQJJOr
20,ERH1gaeZSqG,Kaduna,Chikun,Kaduna,kd Chikun,A279VIsHpTI,,A279VIsHpTI
21,ERH1gaeZSqG,Kaduna,Makarfi,Kaduna,kd Makarfi,oPl04jv6omI,,oPl04jv6omI
22,ERH1gaeZSqG,Kaduna,kaduna South,Kaduna,kd Kaduna South,QaeAxjVVGmA,,QaeAxjVVGmA
23,ERH1gaeZSqG,Kaduna,Jema'a,Kaduna,kd Jema'a,vufh9kqDnPj,,vufh9kqDnPj
24,ERH1gaeZSqG,Kaduna,Kudan,Kaduna,kd Kudan,tXeGc4P4bXe,,tXeGc4P4bXe
25,ERH1gaeZSqG,Kaduna,Kauru,Kaduna,kd Kauru,fk5t7pAg7Cm,,fk5t7pAg7Cm
26,ERH1gaeZSqG,Kaduna,Kagarko,Kaduna,kd Kagarko,Bc82bF99cN1,,Bc82bF99cN1
27,ERH1gaeZSqG,Kaduna,Kaura,Kaduna,kd Kaura,tkNy2sER8xX,,tkNy2sER8xX
28,ERH1gaeZSqG,Kaduna,Kubau,Kaduna,kd Kubau,k2dAp9r2mRa,,k2dAp9r2mRa
29,erpCFZj6yFu,Adamawa,Song,Adamawa,ad Song,FlBE3mL1gu7,,FlBE3mL1gu7
30,erpCFZj6yFu,Adamawa,Toungo,Adamawa,ad Toungo,IlQNjQ4xhtJ,,IlQNjQ4xhtJ
31,erpCFZj6yFu,Adamawa,Yola South,Adamawa,ad Yola South,ygm0La5inNU,,ygm0La5inNU
32,erpCFZj6yFu,Adamawa,Jada,Adamawa,ad Jada,qrAb13XpOC2,,qrAb13XpOC2
33,erpCFZj6yFu,Adamawa,Michika,Adamawa,ad Michika,DqggvhYh4iJ,,DqggvhYh4iJ
34,erpCFZj6yFu,Adamawa,Numan,Adamawa,ad Numan,Z0saBqitaCS,,Z0saBqitaCS
35,erpCFZj6yFu,Adamawa,Lamurde,Adamawa,ad Lamurde,YrmqAeqD90Z,,YrmqAeqD90Z
36,erpCFZj6yFu,Adamawa,Hong,Adamawa,ad Hong,fpBVTbTedSf,,fpBVTbTedSf
37,erpCFZj6yFu,Adamawa,Guyuk,Adamawa,ad Guyuk,w4bclNyjW8p,,w4bclNyjW8p
38,pRNjUammgeK,Akwa Ibom,Nsit Ibom,Akwa Ibom,ak Nsit Ibom,QzoJtRtnwEK,,QzoJtRtnwEK
39,pRNjUammgeK,Akwa Ibom,Nsit Atai,Akwa Ibom,ak Nsit Atai,bTbhVIeXl5B,,bTbhVIeXl5B
40,erpCFZj6yFu,Adamawa,Fufore,Adamawa,ad Fufore,dv4N89160b6,,dv4N89160b6
41,erpCFZj6yFu,Adamawa,Ganye,Adamawa,ad Ganye,EorvxnuHvOc,,EorvxnuHvOc
42,erpCFZj6yFu,Adamawa,Gombi,Adamawa,ad Gombi,I0NB6gmLUsA,,I0NB6gmLUsA
43,erpCFZj6yFu,Adamawa,Mubi South,Adamawa,ad Mubi South,m6LBTfgy4N4,,m6LBTfgy4N4
44,erpCFZj6yFu,Adamawa,Mubi North,Adamawa,ad Mubi North,Lfi7NDdKEEs,,Lfi7NDdKEEs
45,erpCFZj6yFu,Adamawa,Girie,Adamawa,ad Girei,g353MwNv1ST,,g353MwNv1ST
46,erpCFZj6yFu,Adamawa,Madagali,Adamawa,ad Madagali,wvoQtDWsFy9,,wvoQtDWsFy9
47,erpCFZj6yFu,Adamawa,Mayo-Belwa,Adamawa,ad Mayo-Belwa,PekU6CGZl4z,,PekU6CGZl4z
48,erpCFZj6yFu,Adamawa,Maiha,Adamawa,ad Maiha,GlcpSBFFUZF,,GlcpSBFFUZF
49,erpCFZj6yFu,Adamawa,Demsa,Adamawa,ad Demsa,p7M264Wg1qB,,p7M264Wg1qB
50,pRNjUammgeK,Akwa Ibom,Mkpat Enin,Akwa Ibom,ak Mkpat Enin,U76V7Aagy0M,,U76V7Aagy0M
51,pRNjUammgeK,Akwa Ibom,Nsit Ubium,Akwa Ibom,ak Nsit Ubium,uURIdxN44t7,,uURIdxN44t7
52,pRNjUammgeK,Akwa Ibom,Abak,Akwa Ibom,ak Abak,XBIWanrEkbP,,XBIWanrEkbP
53,pRNjUammgeK,Akwa Ibom,Mbo,Akwa Ibom,ak Mbo,UcOzBtlIxjs,,UcOzBtlIxjs
54,pRNjUammgeK,Akwa Ibom,Udung Uko,Akwa Ibom,ak Udung Uko,iyBox8IdIwz,,iyBox8IdIwz
55,pRNjUammgeK,Akwa Ibom,Eket,Akwa Ibom,ak Eket,LtNhTo6ObDy,,LtNhTo6ObDy
56,pRNjUammgeK,Akwa Ibom,Onna,Akwa Ibom,ak Onna,qEnUjTAp97f,,qEnUjTAp97f
57,pRNjUammgeK,Akwa Ibom,Oron,Akwa Ibom,ak Oron,Aa1whDXzJ2c,,Aa1whDXzJ2c
58,pRNjUammgeK,Akwa Ibom,Eastern Obolo,Akwa Ibom,ak Eastern Obolo,ALVyRcoCEeE,,ALVyRcoCEeE
59,pRNjUammgeK,Akwa Ibom,Oruk Anam,Akwa Ibom,ak Oruk Anam,R3xzKk95P1a,,R3xzKk95P1a
60,pRNjUammgeK,Akwa Ibom,Esit Eket,Akwa Ibom,ak Esit Eket,DbuyCcoGr3o,,DbuyCcoGr3o
61,pRNjUammgeK,Akwa Ibom,Etim Ekpo,Akwa Ibom,ak Etim Ekpo,KF4B3lAghd8,,KF4B3lAghd8
62,Mt26U3BtZWW,Bauchi,Warji,Bauchi,ba Warji,dIi3XUCSsXQ,,dIi3XUCSsXQ
63,pRNjUammgeK,Akwa Ibom,Etinan,Akwa Ibom,ak Etinan,fpXkddgSxc2,,fpXkddgSxc2
64,pRNjUammgeK,Akwa Ibom,Essien Udim,Akwa Ibom,ak Essien Udim,Z5atgpujIuB,,Z5atgpujIuB
65,pRNjUammgeK,Akwa Ibom,Obot Akara,Akwa Ibom,ak Obot Akara,OcjOTIIz6PZ,,OcjOTIIz6PZ
66,pRNjUammgeK,Akwa Ibom,Itu,Akwa Ibom,ak Itu,zxPmBggJpRL,,zxPmBggJpRL
67,pRNjUammgeK,Akwa Ibom,Ini,Akwa Ibom,ak Ini,UEO4kGjgWGz,,UEO4kGjgWGz
68,pRNjUammgeK,Akwa Ibom,Ikot Ekpene,Akwa Ibom,ak Ikot Ekpene,Hav0LhcZr8l,,Hav0LhcZr8l
69,pRNjUammgeK,Akwa Ibom,Ikot Abasi,Akwa Ibom,ak Ikot Abasi,KXQgiiDCxNB,,KXQgiiDCxNB
70,pRNjUammgeK,Akwa Ibom,Ikono,Akwa Ibom,ak Ikono,QyiNd4lpoYO,,QyiNd4lpoYO
71,pRNjUammgeK,Akwa Ibom,Ukanafun,Akwa Ibom,ak Ukanafun,VrBYQf8rbPc,,VrBYQf8rbPc
72,pRNjUammgeK,Akwa Ibom,Ika,Akwa Ibom,ak Ika,uU7VK6bHY0b,,uU7VK6bHY0b
73,pRNjUammgeK,Akwa Ibom,Ibiono Ibom,Akwa Ibom,ak Ibiono Ibom,RFu8InHRI0P,,RFu8InHRI0P
74,pRNjUammgeK,Akwa Ibom,Uruan,Akwa Ibom,ak Uruan,fxkXzAmjGtQ,,fxkXzAmjGtQ
75,pRNjUammgeK,Akwa Ibom,Uyo,Akwa Ibom,ak Uyo,HzF1QcC3jfm,,HzF1QcC3jfm
76,pRNjUammgeK,Akwa Ibom,Ibeno,Akwa Ibom,ak Ibeno,KTBSBPINZ9K,,KTBSBPINZ9K
77,pRNjUammgeK,Akwa Ibom,Ibesikpo Asutan,Akwa Ibom,ak Ibesikpo Asutan,FJORitdoOgZ,,FJORitdoOgZ
78,pRNjUammgeK,Akwa Ibom,Urue-Offong/Oruko,Akwa Ibom,ak Urue-Offong-Oruko,HqzA0kbnPTT,,HqzA0kbnPTT
79,LXdsxJVo6Gk,Anambra,Ihiala,Anambra,an Ihiala,kKXpnEpWHau,,kKXpnEpWHau
80,LXdsxJVo6Gk,Anambra,Ogbaru,Anambra,an Ogbaru,ECHIr3eP4t4,,ECHIr3eP4t4
81,LXdsxJVo6Gk,Anambra,Anaocha,Anambra,an Anaocha,sgqANA29vHG,,sgqANA29vHG
82,LXdsxJVo6Gk,Anambra,Idemili North,Anambra,an Idemili North,EXvdc4ppwoz,,EXvdc4ppwoz
83,LXdsxJVo6Gk,Anambra,Oyi,Anambra,an Oyi,DPtWPT96gZF,,DPtWPT96gZF
84,LXdsxJVo6Gk,Anambra,Anambra East,Anambra,an Anambra East,WympM6A8Dyz,,WympM6A8Dyz
85,LXdsxJVo6Gk,Anambra,Onitsha North,Anambra,an Onitsha North,DR7pw2aSUwX,,DR7pw2aSUwX
86,LXdsxJVo6Gk,Anambra,Orumba South,Anambra,an Orumba South,HJYYvGcFd4u,,HJYYvGcFd4u
87,LXdsxJVo6Gk,Anambra,Njikoka,Anambra,an Njikoka,jjP9tmzofKz,,jjP9tmzofKz
88,LXdsxJVo6Gk,Anambra,Nnewi North,Anambra,an Nnewi North,zfiun4GPDku,,zfiun4GPDku
89,LXdsxJVo6Gk,Anambra,Nnewi South,Anambra,an Nnewi South,NF6SfRY1kto,,NF6SfRY1kto
90,LXdsxJVo6Gk,Anambra,Orumba North,Anambra,an Orumba North,R1QrxLfGQAu,,R1QrxLfGQAu
91,LXdsxJVo6Gk,Anambra,Ayamelum,Anambra,an Ayamelum,cAtDMHGqXDY,,cAtDMHGqXDY
92,LXdsxJVo6Gk,Anambra,Aguata,Anambra,an Aguata,DFMlCbHb8A8,,DFMlCbHb8A8
93,LXdsxJVo6Gk,Anambra,Awka South,Anambra,an Awka South,JyswUUSs0Ga,,JyswUUSs0Ga
94,LXdsxJVo6Gk,Anambra,Ekwusigo,Anambra,an Ekwusigo,UjwHpQb8RFM,,UjwHpQb8RFM
